DATAFLOW,LAST UPDATE,freq,indic_env,wst_oper,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES11,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES12,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES13,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES21,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES22,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES23,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES24,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES30,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES41,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES42,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES43,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES51,2010,11,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES52,2010,7,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES53,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES61,2010,8,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES62,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES63,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES64,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,ES70,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL11,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL12,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL13,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL21,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL22,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL23,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL31,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL32,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL33,2010,4,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL34,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL41,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_I,NL42,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES11,2010,32,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES12,2010,3,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES13,2010,3,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES21,2010,21,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES22,2010,11,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES23,2010,6,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES24,2010,23,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES30,2010,10,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES41,2010,18,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES42,2010,20,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES43,2010,7,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES51,2010,94,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES52,2010,44,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES53,2010,6,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES61,2010,62,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES62,2010,26,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES63,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES64,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,ES70,2010,7,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL11,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL12,2010,4,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL13,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL21,2010,3,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL22,2010,7,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL23,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL31,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL32,2010,7,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL33,2010,6,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL34,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL41,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,DSP_L,NL42,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES11,2010,4,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES12,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES13,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES21,2010,5,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES22,2010,4,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES23,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES24,2010,3,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES30,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES41,2010,6,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES42,2010,9,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES43,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES51,2010,5,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES52,2010,11,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES53,2010,,c
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES61,2010,15,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES62,2010,5,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES63,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES64,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,ES70,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL11,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL12,2010,2,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL13,2010,0,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL21,2010,1,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL22,2010,4,
ESTAT:ENV_WASFAC(1.0),14/09/22 23:00:00,A,FAC,RCV_E,NL23,2010,0,
