DATAFLOW,LAST UPDATE,freq,so_eur,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES11,2010,81170,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES12,2010,23910,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES13,2010,10350,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES21,2010,16550,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES22,2010,15870,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES23,2010,10230,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES24,2010,52770,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES30,2010,8280,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES41,2010,98250,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES42,2010,122420,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES43,2010,65230,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES51,2010,60840,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES52,2010,120180,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES53,2010,10750,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES61,2010,246100,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES62,2010,32700,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES63,2010,0,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES64,2010,0,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,ES70,2010,14170,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL11,2010,3360,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL12,2010,5750,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL13,2010,3780,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL21,2010,8910,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL22,2010,12360,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL23,2010,1890,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL31,2010,2940,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL32,2010,5010,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL33,2010,7250,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL34,2010,3240,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL41,2010,12900,
ESTAT:EF_MPTENURECS(1.0),16/01/17 23:00:00,A,TOTAL,HOLD_HOLD,NL42,2010,4940,
